,w_adv,w_time,w_prob,non-weighted error,weighted error,correlation,pvalue,mean,std,c0,c10,c20,c30,c40,c50,c60,c70,c80,c90,r0,r10,r20,r30,r40,r50,r60,r70,r80,r90
53,0.5999999999999999,0.19999999999999998,0.19999999999999998,0.20164236236783384,0.2099456154916338,0.945281877815726,0.00014000990166565853,0.5450355670346735,0.2361183048086494,0.0,176.2,834.8,1109.3,1034.8,943.3,778.2,567.9,337.9,770.9,,0.5444771220822041,0.6644689327659126,0.7043451809194031,0.7039646763497478,0.7071441703078633,0.757726181061879,0.811030168707609,0.8891831447817277,0.9820845414770154
54,0.5999999999999999,0.29999999999999993,0.09999999999999999,0.24417725176273844,0.2652109812096137,0.9095236745265616,0.00040443972002975347,0.49039830598623946,0.2610180041350914,26.1,756.9,1086.2,1000.5,897.0,748.6,581.8,435.0,265.4,755.8,0.49980771029859394,0.6669536494212618,0.7043373795494464,0.703122354072738,0.7050885319333153,0.7429504723775089,0.7580437056526428,0.795228787133163,0.873546539919657,0.9807254264301287
55,0.5999999999999999,0.39999999999999997,0.0,0.2675665711400018,0.3203619313865234,0.8254806265858312,0.004926594407054481,0.4357610449378032,0.28805146299492707,621.7,1015.1,883.4,959.5,741.3,555.4,424.3,372.2,234.9,745.5,0.691615889915047,0.7228136896056694,0.6787123183103738,0.7020371191741221,0.7302000294782011,0.7485588044861172,0.7418416049808589,0.794924076260582,0.8606921494914603,0.9771117320197342
56,0.7000000000000001,0.0,0.29999999999999993,0.16868234611916208,0.13143078290617466,0.8825457912346792,0.03380659917451127,0.6274641698411745,0.21340097856772586,0.0,7.5,285.0,777.5,991.5,1089.2,1030.5,851.6,560.9,959.6,,0.510989010989011,0.5575004891523235,0.6607371315749027,0.6997229740041874,0.7009247216650203,0.703177017961232,0.7557621648904795,0.8881210027482572,0.9750525370490649
57,0.7000000000000001,0.09999999999999999,0.19999999999999998,0.19208173402880335,0.18372521969626143,0.9233522722564219,0.0004419508645052301,0.5728269087927437,0.23327923406289983,0.0,127.6,696.0,979.6,991.8,963.5,853.6,680.9,434.0,826.3,,0.5348588413866449,0.6577206753079782,0.7071740851621316,0.7018479284663239,0.6981684486201403,0.7161675763034675,0.7974774679800757,0.8849666002825829,0.9794503842901852
58,0.7000000000000001,0.19999999999999998,0.09999999999999999,0.24110855624226163,0.23872660468130064,0.8744413091786141,0.0013727901762812112,0.5181896477443091,0.2564430633058784,15.0,609.7,945.7,936.7,913.7,813.0,694.8,517.7,332.3,774.7,0.5244358054226474,0.6582161790057043,0.7101857187733025,0.7028151964098464,0.7025071748228635,0.7016402802040108,0.7510234400795424,0.7979117138086972,0.8769693911519385,0.9787451203054316
59,0.7000000000000001,0.29999999999999993,0.0,0.2631412982950273,0.2942772893075034,0.8358869939856992,0.0032379359655014097,0.46355238669587473,0.2820843116305773,489.4,851.9,923.0,867.6,771.8,680.1,531.6,415.6,263.7,758.6,0.6810657451643769,0.7157163842274293,0.7004972835120589,0.6997792365262702,0.7006085509788946,0.7373504912657798,0.7517472238684929,0.7862866800810984,0.8702266804988137,0.975160643638565
60,0.7999999999999999,0.0,0.19999999999999998,0.18325221730680044,0.1562686822015287,0.9004283278391083,0.0010999272222910494,0.6006182505508141,0.2329003146947107,0.0,86.5,574.9,823.0,961.1,883.4,965.5,746.5,537.6,974.8,,0.5318644032531882,0.6504444368278113,0.6896281098379559,0.7145109922158123,0.683984596488024,0.7087927918427737,0.7434059760988533,0.8753295288298488,0.9712717497733339
61,0.7999999999999999,0.09999999999999999,0.09999999999999999,0.22940920827591724,0.2101669210374173,0.8799961063376719,0.0013140830400216008,0.5459809895023804,0.25407034797404005,9.8,488.6,798.2,910.2,824.8,860.3,784.5,637.3,407.7,831.9,0.4787789549631654,0.6468825696065277,0.697037857071093,0.7145866934651368,0.6912519956619481,0.700376764735638,0.7167316425199213,0.792399388228309,0.8754046407526657,0.9748516476548825
62,0.7999999999999999,0.19999999999999998,0.0,0.2562341543662682,0.2611092964718358,0.8413097543906234,0.003029391633722848,0.49134372845394364,0.2780747329770378,297.8,716.5,942.9,694.8,912.5,727.7,666.8,489.7,323.3,781.3,0.6513240597258954,0.7027364050210858,0.7208103172793475,0.6803141319007905,0.7101537914803766,0.6944907800050218,0.7585320048851039,0.7874880977519123,0.8678194588181958,0.9727165178297967
63,0.9000000000000001,0.0,0.09999999999999999,0.22695405432960225,0.18424253886342326,0.8039493182298978,0.009505980601151468,0.5737723312604478,0.25396144875929255,6.2,393.7,698.4,817.6,798.6,861.2,797.7,753.7,489.3,936.9,0.5247619047619048,0.6318042850200947,0.6985316669829309,0.7050097399013138,0.7140485771474876,0.6990605821377771,0.6853114340305767,0.7608340738253799,0.861990904116477,0.9658496977767779
64,0.9000000000000001,0.09999999999999999,0.0,0.25157841213682225,0.23717022635668017,0.8079571805258736,0.006225392917991275,0.5191350702120143,0.276107901049348,276.6,640.5,691.4,876.2,782.4,699.1,809.6,556.5,373.1,847.9,0.6508341895489111,0.7116528893211064,0.7017253688278708,0.7079088476659863,0.7038294471067307,0.67693031438126,0.7397928998667502,0.7757154947947995,0.8564671154626767,0.9665246404819465
65,1.0,0.0,0.0,0.24683684671611256,0.20915986984324308,0.7762303487117564,0.010845593611501659,0.5469264119700837,0.27622733906403,172.0,564.5,764.4,686.0,587.7,895.2,815.2,625.1,482.4,960.8,0.6499374137672913,0.6929649278169038,0.7187527838594175,0.6960058464858838,0.6869371278007242,0.7083642944901977,0.7113547243899755,0.7336377543578393,0.8477050062267434,0.9576544716680246
